Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
France (Saint-Pierre-et-Miquelon),SPM Telecom[93],"Orange S.A. (70%), Landry (30%)",,X,,,,france (saint-pierre-et-miquelon)_spm_telecom[93]
French Polynesia,VINI,ONATi,,,X,X,,french polynesia_vini
French Polynesia,VITI,,,,,X,,french polynesia_viti
French Polynesia,Vodafone,Pacific Mobile Telecom,,,,X,,french polynesia_vodafone
Gabon,Airtel,Bharti Airtel (90%),,X,X,X,"formerly Celtel, Zain",gabon_airtel
Gabon,Moov Africa Gabon Telecom,"Maroc Telecom (51%), Gabonese government (49%)",,X,,,,gabon_moov_africa_gabon_telecom
Gambia,Africell,Africell Gambia LTD,,X,X,X,,gambia_africell
Gambia,Comium,Comium Group,,X,,,,gambia_comium
Gambia,Gamcel,Gambia Telecommunications Cellular Company Ltd,,X,,,,gambia_gamcel
Gambia,Qcell,Qcell,,X,X,,,gambia_qcell
Georgia,A-Mobile,A-Mobile LLSC,28988 (MCC is not listed by ITU),X,X,X,,georgia_a-mobile
Georgia,Aquafon,Aquafon JSC,28967 (MCC is not listed by ITU),X,X,X,,georgia_aquafon
Georgia,Cellfie,CBS Group,28204,X,X,X,formerly Beeline,georgia_cellfie
Georgia,Magticom,International Tellcell LLC,28202,X,X,X,,georgia_magticom
Georgia,MegaFon,CJSC Ostelkom (branding licence agreement with MegaFon)[66],25002,X,X,X,,georgia_megafon
Georgia,Silknet,Silk Road Group,28201,X,X,X,formerly Geocell,georgia_silknet
Germany,1&1,"United Internet AG (78.32%), free float (18.26%), TGW Logistics Group (3.00%), others (0,42 %)",26223,,,X,,germany_1&1
Germany,O2,"Telefónica S.A. (96.8%), free float (3.2%)",26203,X,,X,formerly VIAG Interkom | • Includes the previous E-Plus network.,germany_o2
Germany,Telekom,Deutsche Telekom AG,26201,X,,X,"formerly D1 DeTeMobil, T-Mobile",germany_telekom
Germany,Vodafone Germany,Vodafone Group plc,26202,X,,X,formerly D2 Mannesmann,germany_vodafone_germany
Ghana,AirtelTigo,Government of Ghana,,,,,,ghana_airteltigo
Ghana,Glo,Globacom,,X,X,,,ghana_glo
Ghana,MTN,MTN (97.7%),,X,X,X,,ghana_mtn
Ghana,Vodafone Ghana,Telecel Group (70%) Government of Ghana (30%),,X,X,X,,ghana_vodafone_ghana
Gibraltar,Gibtelecom,Government of Gibraltar,26601,X,X,X,,gibraltar_gibtelecom
