prefix,country_alpha2,carrier_id,carrier_name,length
554899174,BR,vivo,Vivo,11
554899175,BR,vivo,Vivo,11
554899176,BR,vivo,Vivo,11
554899177,BR,vivo,Vivo,11
554899178,BR,vivo,Vivo,11
554899179,BR,vivo,Vivo,11
554899181,BR,vivo,Vivo,11
554899182,BR,vivo,Vivo,11
554899183,BR,vivo,Vivo,11
554899184,BR,vivo,Vivo,11
554899185,BR,vivo,Vivo,11
554899186,BR,vivo,Vivo,11
554899601,BR,tim,TIM,11
554899602,BR,tim,TIM,11
554899603,BR,tim,TIM,11
554899604,BR,tim,TIM,11
554899606,BR,tim,TIM,11
554899607,BR,tim,TIM,11
554899608,BR,tim,TIM,11
554899609,BR,tim,TIM,11
554899611,BR,tim,TIM,11
554899612,BR,tim,TIM,11
554899613,BR,tim,TIM,11
554899614,BR,tim,TIM,11
554899615,BR,tim,TIM,11
554899616,BR,tim,TIM,11
554899617,BR,tim,TIM,11
554899618,BR,tim,TIM,11
554899619,BR,tim,TIM,11
554899621,BR,tim,TIM,11
554899622,BR,tim,TIM,11
554899623,BR,tim,TIM,11
554899624,BR,tim,TIM,11
554899625,BR,tim,TIM,11
554899626,BR,tim,TIM,11
554899627,BR,tim,TIM,11
554899628,BR,tim,TIM,11
554899629,BR,tim,TIM,11
554899631,BR,tim,TIM,11
554899632,BR,tim,TIM,11
554899633,BR,tim,TIM,11
554899634,BR,tim,TIM,11
554899635,BR,tim,TIM,11
554899636,BR,tim,TIM,11
554899637,BR,tim,TIM,11
554899638,BR,tim,TIM,11
554899639,BR,tim,TIM,11
554899641,BR,tim,TIM,11
554899642,BR,tim,TIM,11
554899643,BR,tim,TIM,11
554899901,BR,tim,TIM,11
554899902,BR,tim,TIM,11
554899903,BR,tim,TIM,11
554899904,BR,tim,TIM,11
554899905,BR,tim,TIM,11
554899906,BR,tim,TIM,11
554899907,BR,tim,TIM,11
554899908,BR,tim,TIM,11
554899909,BR,tim,TIM,11
554899911,BR,tim,TIM,11
554899912,BR,tim,TIM,11
554899913,BR,tim,TIM,11
554899914,BR,tim,TIM,11
554899915,BR,tim,TIM,11
554899916,BR,tim,TIM,11
554899917,BR,tim,TIM,11
554899918,BR,tim,TIM,11
554899919,BR,tim,TIM,11
554899921,BR,tim,TIM,11
554899922,BR,tim,TIM,11
554899923,BR,tim,TIM,11
554899924,BR,tim,TIM,11
554899925,BR,tim,TIM,11
554899926,BR,tim,TIM,11
554899927,BR,tim,TIM,11
554899928,BR,tim,TIM,11
554899929,BR,tim,TIM,11
554899931,BR,tim,TIM,11
554899932,BR,tim,TIM,11
554899933,BR,tim,TIM,11
554899934,BR,tim,TIM,11
554899935,BR,tim,TIM,11
554899936,BR,tim,TIM,11
554899937,BR,tim,TIM,11
554899938,BR,tim,TIM,11
554899939,BR,tim,TIM,11
554899941,BR,tim,TIM,11
554899942,BR,tim,TIM,11
554899943,BR,tim,TIM,11
554899944,BR,tim,TIM,11
554899945,BR,tim,TIM,11
554899946,BR,tim,TIM,11
554899947,BR,tim,TIM,11
554899948,BR,tim,TIM,11
554899949,BR,tim,TIM,11
554899951,BR,tim,TIM,11
554899952,BR,tim,TIM,11
554899953,BR,tim,TIM,11
554899954,BR,tim,TIM,11
554899955,BR,tim,TIM,11
554899956,BR,tim,TIM,11
554899957,BR,tim,TIM,11
554899958,BR,tim,TIM,11
554899959,BR,tim,TIM,11
55489996,BR,tim,TIM,11
554899971,BR,tim,TIM,11
554899972,BR,tim,TIM,11
554899973,BR,tim,TIM,11
554899974,BR,tim,TIM,11
554899975,BR,tim,TIM,11
554899976,BR,tim,TIM,11
554899977,BR,tim,TIM,11
554899978,BR,tim,TIM,11
554899979,BR,tim,TIM,11
55489998,BR,tim,TIM,11
554899991,BR,tim,TIM,11
554899992,BR,tim,TIM,11
554899993,BR,tim,TIM,11
554899994,BR,tim,TIM,11
554899995,BR,tim,TIM,11
554899996,BR,tim,TIM,11
554899997,BR,tim,TIM,11
554899998,BR,tim,TIM,11
55497400,BR,NextelBr,NextelBr,
554991,BR,VIVOMG1,VIVOMG1,
554998401,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998402,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998403,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998404,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998405,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998406,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998407,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998408,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998409,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998411,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998412,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998413,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998414,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998415,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998416,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998417,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998418,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
554998419,BR,brasil_telecom_gsm,Brasil Telecom GSM,11
55499880,BR,claro,Claro,11
55499881,BR,claro,Claro,11
55499882,BR,claro,Claro,11
55499883,BR,claro,Claro,11
55499884,BR,claro,Claro,11
55499885,BR,claro,Claro,11
55499886,BR,claro,Claro,11
55499887,BR,claro,Claro,11
554998880,BR,claro,Claro,11
554998881,BR,claro,Claro,11
554998882,BR,claro,Claro,11
55499910,BR,vivo,Vivo,11
554999111,BR,vivo,Vivo,11
554999112,BR,vivo,Vivo,11
554999113,BR,vivo,Vivo,11
554999114,BR,vivo,Vivo,11
554999115,BR,vivo,Vivo,11
554999116,BR,vivo,Vivo,11
554999117,BR,vivo,Vivo,11
554999118,BR,vivo,Vivo,11
554999119,BR,vivo,Vivo,11
554999121,BR,vivo,Vivo,11
554999122,BR,vivo,Vivo,11
554999123,BR,vivo,Vivo,11
554999124,BR,vivo,Vivo,11
554999125,BR,vivo,Vivo,11
554999126,BR,vivo,Vivo,11
554999127,BR,vivo,Vivo,11
554999128,BR,vivo,Vivo,11
554999129,BR,vivo,Vivo,11
554999131,BR,vivo,Vivo,11
554999132,BR,vivo,Vivo,11
554999133,BR,vivo,Vivo,11
554999134,BR,vivo,Vivo,11
554999135,BR,vivo,Vivo,11
554999136,BR,vivo,Vivo,11
554999137,BR,vivo,Vivo,11
554999138,BR,vivo,Vivo,11
554999139,BR,vivo,Vivo,11
554999141,BR,vivo,Vivo,11
554999142,BR,vivo,Vivo,11
554999143,BR,vivo,Vivo,11
554999144,BR,vivo,Vivo,11
554999145,BR,vivo,Vivo,11
554999146,BR,vivo,Vivo,11
554999147,BR,vivo,Vivo,11
554999148,BR,vivo,Vivo,11
554999149,BR,vivo,Vivo,11
554999151,BR,vivo,Vivo,11
554999152,BR,vivo,Vivo,11
554999153,BR,vivo,Vivo,11
554999154,BR,vivo,Vivo,11
